"Force, Time"
"1.38,13778"
"1.39,13791"
"1.39,13803"
"1.39,13815"
"1.38,13828"
"1.39,13840"
"1.39,13853"
"1.39,13865"
"1.38,13878"
"1.39,13890"
"1.39,13902"
"1.39,13916"
"1.38,13928"
"1.39,13940"
"1.39,13953"
"1.39,13965"
"1.38,13978"
"1.39,13990"
"1.39,14003"
"1.39,14015"
"1.38,14027"
"1.39,14040"
"1.39,14053"
"1.39,14065"
"1.38,14077"
"1.39,14090"
"1.39,14102"
"1.39,14115"
"1.38,14128"
"1.39,14140"
"1.39,14152"
"1.39,14164"
"1.38,14178"
"1.39,14190"
"1.39,14202"
"1.38,14215"
"1.38,14227"
"1.39,14239"
"1.39,14253"
"1.38,14265"
"1.38,14277"
"1.39,14289"
"1.39,14302"
"1.38,14315"
"1.38,14327"
"1.39,14340"
"1.39,14352"
"1.38,14364"
"1.38,14377"
"1.39,14390"
"1.39,14402"
"1.38,14414"
"1.38,14427"
"1.39,14439"
"1.39,14452"
"1.38,14465"
"1.38,14477"
"1.39,14489"
"1.39,14501"
"1.38,14515"
"1.38,14527"
"1.39,14539"
"1.39,14552"
"1.38,14564"
"1.38,14577"
"1.39,14589"
"1.39,14602"
"1.38,14614"
"1.38,14626"
"1.39,14639"
"1.39,14652"
"1.38,14664"
"1.38,14676"
"1.39,14689"
"1.39,14701"
"1.38,14714"
"1.38,14727"
"1.39,14739"
"1.39,14751"
"1.38,14764"
"1.38,14777"
"1.39,14789"
"1.39,14801"
"1.38,14814"
"1.38,14826"
"1.39,14838"
"1.39,14852"
"1.38,14864"
"1.38,14876"
"1.39,14888"
"1.39,14901"
"1.38,14914"
"1.38,14926"
"1.39,14939"
"1.39,14951"
"1.38,14963"
"1.38,14977"
"1.39,14989"
"1.39,15001"
"1.38,15013"
"1.38,15026"
"1.39,15038"
"1.39,15051"
"1.38,15064"
"1.38,15076"
"1.39,15088"
"1.39,15100"
"1.38,15114"
"1.38,15126"
"1.39,15138"
"1.39,15151"
"1.38,15163"
"1.38,15176"
"1.39,15188"
"1.39,15201"
"1.38,15213"
"1.38,15225"
"1.39,15238"
"1.39,15251"
"1.38,15263"
"1.38,15276"
"1.39,15288"
"1.39,15300"
"1.38,15313"
"1.38,15326"
"1.39,15338"
"1.39,15350"
"1.38,15363"
"1.38,15376"
"1.39,15388"
"1.39,15400"
"1.38,15413"
"1.38,15425"
"1.39,15437"
"1.39,15451"
"1.38,15463"
"1.38,15475"
"1.39,15488"
"1.39,15500"
"1.38,15513"
"1.38,15525"
"1.39,15538"
"1.39,15550"
"1.38,15562"
"1.39,15576"
"1.39,15588"
"1.39,15600"
"1.38,15612"
"1.39,15625"
"1.39,15637"
"1.39,15650"
"1.38,15663"
"1.39,15675"
"1.39,15687"
"1.39,15699"
"1.38,15713"
"1.39,15725"
"1.39,15737"
"1.39,15750"
"1.38,15762"
"1.39,15775"
"1.39,15788"
"1.39,15800"
"1.38,15812"
"1.39,15824"
"1.39,15837"
"1.39,15850"
"1.38,15862"
"1.39,15875"
"1.39,15887"
"1.39,15899"
"1.38,15912"
"1.39,15925"
"1.39,15937"
"1.39,15949"
"1.38,15962"
"1.39,15975"
"1.39,15987"
"1.39,16000"
"1.38,16012"
"1.39,16024"
"1.39,16036"
"1.38,16050"
"1.38,16062"
"1.39,16074"
"1.39,16087"
"1.38,16099"
"1.38,16112"
"1.39,16124"
"1.39,16137"
"1.38,16149"
"1.38,16161"
"1.39,16175"
"1.39,16187"
"1.38,16199"
"1.38,16211"
"1.39,16224"
"1.39,16236"
"1.38,16249"
"1.38,16262"
"1.39,16274"
"1.39,16286"
"1.38,16299"
"1.38,16312"
"1.39,16324"
"1.39,16336"
"1.38,16349"
"1.38,16361"
"1.39,16374"
"1.39,16387"
"1.38,16399"
"1.38,16411"
"1.39,16423"
"1.39,16436"
"1.38,16449"
"1.38,16461"
"1.39,16474"
"1.39,16486"
"1.38,16498"
"1.38,16512"
"1.39,16524"
"1.39,16536"
"1.38,16548"
"1.38,16561"
"1.39,16574"
"1.39,16586"
"1.38,16599"
"1.38,16611"
"1.39,16623"
"1.39,16635"
"1.38,16649"
"1.38,16661"
"1.39,16673"
"1.39,16686"
"1.38,16698"
"1.38,16711"
"1.39,16723"
"1.39,16736"
"1.38,16748"
"1.38,16760"
"1.39,16774"
"1.39,16786"
"1.38,16798"
"1.38,16811"
"1.39,16823"
"1.39,16835"
"1.38,16848"
"1.38,16861"
"1.39,16873"
"1.39,16885"
"1.38,16898"
"1.38,16911"
"1.39,16923"
"1.39,16935"
"1.38,16948"
"1.38,16960"
"1.39,16973"
"1.39,16986"
"1.38,16998"
"1.38,17010"
"1.39,17022"
"1.39,17035"
"1.38,17048"
"1.38,17060"
"1.39,17073"
"1.39,17085"
"1.38,17097"
"1.38,17111"
"1.39,17123"
"1.39,17135"
"1.38,17147"
"1.38,17160"
"1.39,17173"
"1.39,17185"
"1.38,17198"
"1.38,17210"
"1.39,17222"
"1.39,17234"
"1.38,17248"
"1.38,17260"
"1.39,17272"
"1.39,17285"
"1.38,17297"
"1.38,17310"
"1.39,17323"
"1.39,17335"
"1.38,17347"
"1.39,17359"
"1.39,17373"
"1.39,17385"
"1.38,17397"
"1.39,17410"
"1.39,17422"
"1.39,17434"
"1.38,17447"
"1.39,17460"
"1.39,17472"
"1.39,17484"
"1.38,17497"
"1.39,17510"
"1.39,17522"
"1.39,17534"
"1.38,17547"
"1.39,17559"
"1.39,17572"
"1.39,17585"
"1.38,17597"
"1.39,17609"
"1.39,17622"
"1.39,17634"
"1.38,17647"
"1.39,17659"
"1.39,17672"
"1.39,17684"
"1.38,17696"
"1.39,17710"
"1.39,17722"
"1.39,17734"
"1.38,17746"
"1.39,17759"
"1.39,17772"
"1.39,17784"
"1.38,17797"
"1.39,17809"
"1.39,17821"
"1.38,17833"
"1.38,17847"
"1.39,17859"
"1.39,17871"
"1.38,17884"
"1.38,17896"
"1.39,17909"
"1.39,17922"
"1.38,17934"
"1.38,17946"
"1.39,17958"
"1.39,17972"
"1.38,17984"
"1.38,17996"
"1.39,18009"
"1.39,18021"
"1.38,18033"
"1.38,18046"
"1.39,18059"
"1.39,18071"
"1.38,18083"
"1.38,18096"
"1.39,18109"
"1.39,18121"
"1.38,18134"
"1.38,18146"
"1.39,18158"
"1.39,18171"
"1.38,18184"
"1.38,18196"
"1.39,18208"
"1.39,18221"
"1.38,18233"
"1.38,18246"
"1.39,18258"
"1.39,18271"
"1.38,18283"
"1.38,18295"
"1.39,18309"
"1.39,18321"
"1.38,18333"
"1.38,18345"
"1.39,18358"
"1.39,18371"
"1.38,18383"
